episode,step,reward,dropped,drop_rate,completed,accepted
6,47,-6.5,9,0.1875,34,39
6,48,-6.5,10,0.20408163265306123,34,39
6,49,1.0,10,0.2,35,40
7,0,0.5,0,0.0,0,1
7,1,0.0,0,0.0,0,2
7,2,0.0,0,0.0,0,3
7,3,-0.5,0,0.0,0,4
7,4,-0.5,0,0.0,0,5
7,5,3.5,0,0.0,2,6
7,6,-1.0,0,0.0,2,7
7,7,1.0,0,0.0,3,8
7,8,-1.5,0,0.0,3,9
7,9,-4.5,1,0.1,4,9
7,10,1.0,1,0.09090909090909091,5,10
7,11,-1.0,1,0.08333333333333333,5,11
7,12,3.5,1,0.07692307692307693,7,12
7,13,-6.0,2,0.14285714285714285,7,12
7,14,3.5,2,0.13333333333333333,9,13
7,15,1.5,2,0.125,10,14
7,16,-0.5,2,0.11764705882352941,10,15
7,17,-4.0,3,0.16666666666666666,11,15
7,18,1.5,3,0.15789473684210525,12,16
7,19,1.5,3,0.15,13,17
7,20,1.5,3,0.14285714285714285,14,18
7,21,1.5,3,0.13636363636363635,15,19
7,22,-0.5,3,0.13043478260869565,15,20
7,23,3.5,3,0.125,17,21
7,24,-0.5,3,0.12,17,22
7,25,1.5,3,0.11538461538461539,18,23
7,26,-4.0,4,0.14814814814814814,19,23
7,27,-1.0,4,0.14285714285714285,19,24
7,28,3.5,4,0.13793103448275862,21,25
7,29,1.5,4,0.13333333333333333,22,26
7,30,-0.5,4,0.12903225806451613,22,27
7,31,-4.0,5,0.15625,23,27
7,32,-0.5,5,0.15151515151515152,23,28
7,33,1.5,5,0.14705882352941177,24,29
7,34,-6.0,6,0.17142857142857143,24,29
7,35,-2.0,7,0.19444444444444445,26,29
7,36,-0.5,7,0.1891891891891892,26,30
7,37,-1.0,7,0.18421052631578946,26,31
7,38,1.0,7,0.1794871794871795,27,32
7,39,1.0,7,0.175,28,33
7,40,-4.0,8,0.1951219512195122,29,33
7,41,-6.0,9,0.21428571428571427,29,33
7,42,1.5,9,0.20930232558139536,30,34
7,43,-1.0,9,0.20454545454545456,30,35
7,44,1.0,9,0.2,31,36
7,45,3.5,9,0.1956521739130435,33,37
7,46,-1.0,9,0.19148936170212766,33,38
7,47,1.0,9,0.1875,34,39
7,48,3.5,9,0.1836734693877551,36,40
7,49,-0.5,9,0.18,36,41
8,0,0.5,0,0.0,0,1
8,1,0.0,0,0.0,0,2
8,2,2.5,0,0.0,1,3
8,3,0.0,0,0.0,1,4
8,4,4.0,0,0.0,3,5
8,5,0.0,0,0.0,3,6
8,6,4.0,0,0.0,5,7
8,7,0.0,0,0.0,5,8
8,8,-0.5,0,0.0,5,9
8,9,-1.0,0,0.0,5,10
8,10,3.5,0,0.0,7,11
8,11,-0.5,0,0.0,7,12
8,12,1.5,0,0.0,8,13
8,13,1.0,0,0.0,9,14
8,14,3.5,0,0.0,11,15
8,15,-0.5,0,0.0,11,16
8,16,-6.0,1,0.058823529411764705,11,16
8,17,1.5,1,0.05555555555555555,12,17
8,18,3.5,1,0.05263157894736842,14,18
8,19,4.0,1,0.05,16,19
8,20,-0.5,1,0.047619047619047616,16,20
8,21,1.5,1,0.045454545454545456,17,21
8,22,1.5,1,0.043478260869565216,18,22
8,23,-0.5,1,0.041666666666666664,18,23
